customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,loyalty_points
1,Richart,Castellani,rcastellani0@purevolume.com,245-781-7121,320 Browning Parkway,Solna,Sweden,171 78,392
2,Emelita,Koschke,ekoschke1@hubpages.com,793-402-8727,39211 Burning Wood Center,Alae,Philippines,2705,355
3,Crissie,Lenchenko,clenchenko2@baidu.com,639-100-2430,65 Brentwood Drive,Bartniczka,Poland,87-321,887
4,Claudina,Bampford,cbampford3@vk.com,663-852-6653,536 Clarendon Plaza,Gafsa,Tunisia,,501
5,Pincas,Sailor,psailor4@tuttocitta.it,592-589-0978,1007 Moland Junction,Bègles,France,33324 CEDEX,874
6,Rhoda,Schistl,rschistl5@imdb.com,676-262-0708,40542 Everett Avenue,Ejidal,Mexico,35069,940
7,Lianne,Dikes,ldikes6@gravatar.com,335-793-9063,529 Eggendart Street,Mikołów,Poland,43-196,417
8,Blayne,Porte,bporte7@squarespace.com,360-963-7991,78 Anthes Street,Kyshtym,Russia,456875,59
9,Armand,Gilbert,agilbert8@blog.com,926-640-5275,4224 Roth Center,Amagbagan,Philippines,2437,344
10,Katinka,Juszczyk,kjuszczyk9@sciencedaily.com,336-471-4781,9154 Roxbury Parkway,Dziergowice,Poland,47-244,283
11,Yvonne,Gimenez,ygimeneza@360.cn,631-448-8810,90677 Butterfield Hill,Kafr Baţnā,Syria,,281
12,Haze,Lurner,hlurnerb@sohu.com,168-104-0941,47 8th Terrace,Neftekamsk,Russia,452696,121
13,Olav,Fries,ofriesc@noaa.gov,440-252-1105,92019 5th Place,Łaziska Górne,Poland,43-173,478
14,Milton,Kennon,mkennond@elegantthemes.com,167-670-9206,55 Waxwing Plaza,Johor Bahru,Malaysia,80500,133
15,Thomasina,Rayer,trayere@storify.com,923-101-1783,52 Becker Parkway,Znamenskoye,Russia,303154,389
16,Maryanne,Theis,mtheisf@rambler.ru,461-548-5617,7979 Moland Pass,Mpika,Zambia,,2
17,Nance,Scandrett,nscandrettg@sourceforge.net,979-412-6725,2 Gale Circle,Velké Losiny,Czech Republic,788 15,487
18,Malory,Nobes,mnobesh@kickstarter.com,892-772-2710,7 Monument Drive,Yufrus,Yemen,,261
19,Brynn,Vallens,bvallensi@pen.io,152-454-9257,9083 Hanover Drive,Phrae,Thailand,54130,657
20,Teddy,Treadgall,ttreadgallj@phpbb.com,398-669-2988,630 Ridgeview Way,Paraty,Brazil,23970-000,636
21,Klement,Stobbes,kstobbesk@nyu.edu,853-160-2707,42 Reindahl Trail,Zhambyl,Kazakhstan,,634
22,Shaylah,Heinish,sheinishl@parallels.com,138-448-7421,88 Melrose Road,Gerakaroú,Greece,,633
23,Elfrieda,Munford,emunfordm@goo.ne.jp,183-416-2726,4 Cardinal Alley,Batu,Philippines,1144,36
24,Norman,Ferencz,nferenczn@webeden.co.uk,125-213-8811,626 Glacier Hill Hill,Calibungan,Philippines,2312,34
25,Ann-marie,Dureden,aduredeno@sina.com.cn,411-417-5086,513 Merry Alley,Amman,Jordan,,81
26,Fran,Poynser,fpoynserp@liveinternet.ru,748-456-9429,50374 Porter Parkway,Shypyntsi,Ukraine,,905
27,Constantino,Georgeson,cgeorgesonq@redcross.org,304-766-3784,0343 Sheridan Road,Tashla,Russia,461199,187
28,Nicolea,Cure,ncurer@alexa.com,965-996-1124,83385 Bluejay Junction,Raposos,Brazil,34400-000,53
29,Maryann,Skipsea,mskipseas@elegantthemes.com,274-674-0928,2 Sunbrook Street,Regueiro,Portugal,4960-462,909
30,Abeu,Riddell,ariddellt@weather.com,112-125-4560,2 Fulton Trail,Lourido,Portugal,4625-604,348
31,Flin,Esslemont,fesslemontu@surveymonkey.com,101-246-0025,89975 Granby Drive,Calheta de Nesquim,Portugal,9930-025,838
